0	0
1	0
2	0
3	1
4	0
5	2
6	2
7	2
8	3
9	1
10	1
11	4
12	4
13	4
14	3
15	4
16	2
17	2
18	1
19	1
20	1
21	5
22	5
23	5
24	5
25	1
26	5
27	5
28	4
29	1
30	1
31	0
32	1
33	0
34	1
35	1
36	2
37	1
38	3
39	0
40	0
41	0
42	1
43	0
44	2
45	2
46	2
47	3
48	1
49	1
50	4
51	4
52	4
53	3
54	4
55	2
56	2
57	1
58	1
59	1
60	5
61	5
62	5
63	5
64	1
65	5
66	5
67	4
68	1
69	1
70	0
71	1
72	0
73	1
74	1
75	2
76	1
77	3
78	6
79	6
80	6
81	6
82	6
83	6
84	6
85	6
86	6
87	6
88	6
89	6
90	6
91	6
